CENTRE,8.5 Herb 8,1L Herb 8,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Grafted 14,Grafted 16,Grafted 18,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Dyna Chilli 15,Dyna Chilli 17,P/Bean 15,P/Bean 17,P/Bean 19,Sweet Potato 17,Heritage Tom 18,Heritage Tom 20,1L Veg 20,1L Veg 22,Autumn Strip,Wildflower Week 12
Hare Hatch Sheeplands,,,,,,,,,,,,,,,,,,16,,,16,,,,16,,,,,,,,,,,,,,,,,16,,,16,,,,,,,20,,20,3,,3,16,,,16,,8,16,,,,,
Haskins,,,135,,,,75,,,,,,,,,,,,,,,,,,,,,,,,75,,,,95,,,,,,,,40,,,,80,,,,,280,250,140,48,38,28,136,,80,32,,116,80,,150,170,,
Haslemere,,,,,,,,,,15,,,,,,,,,,,,,,16,,,,,,,,,,,,,,15,,,,,,,,,,16,,,,,20,,,,,,16,,16,,,16,,,,,
Hayes Ambleside,,,,15,,30,,30,,30,,30,,,,,,,,,,,,,,,,,,,,,,15,,30,,30,,,,,,16,,,,16,,,,20,,,3,,,,,,16,,,,,,,,
Henry Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,
Hertfordshire Garden Centre,,,15,,,15,15,,15,,15,,,,,,,30,,,,,30,,16,,,,,,15,,,,15,15,,,,,,,,,,,,,,,,20,,,3,,,,16,,,30,,16,,,20,,
Hilliers,,,,435,,,315,,435,,,315,,,,,352,,,,,,,,,,,,,,,435,,,315,,435,,,315,,,352,,,,352,,,,,500,440,,126,,,448,,352,,,186,392,,520,,,
Holme Nurseries,,,,,,,15,,,15,,,,,,,,15,,,15,,,15,,,,,,,,15,,,15,,,15,,,,,,,,,,,,,,,20,20,,3,,,16,,16,,,16,,20,20,,
Holton Road Garden Centre,,,15,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,16,,8,16,,,,,
Homebase,,,720,300,500,300,240,720,240,270,300,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,210,165,120,,15,912,,720,600,504,405,195,225,,,,
